Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
17/08/18,Betis,Levante,0,3,A,0,1,A,2018-2019
17/08/18,Girona,Valladolid,0,0,D,0,0,D,2018-2019
18/08/18,Barcelona,Alaves,3,0,H,0,0,D,2018-2019
18/08/18,Celta,Espanol,1,1,D,0,1,A,2018-2019
18/08/18,Villarreal,Sociedad,1,2,A,1,1,D,2018-2019
19/08/18,Eibar,Huesca,1,2,A,0,2,A,2018-2019
19/08/18,Real Madrid,Getafe,2,0,H,1,0,H,2018-2019
19/08/18,Vallecano,Sevilla,1,4,A,0,3,A,2018-2019
20/08/18,Ath Bilbao,Leganes,2,1,H,1,1,D,2018-2019
20/08/18,Valencia,Ath Madrid,1,1,D,0,1,A,2018-2019
24/08/18,Getafe,Eibar,2,0,H,1,0,H,2018-2019
24/08/18,Leganes,Sociedad,2,2,D,0,2,A,2018-2019
25/08/18,Alaves,Betis,0,0,D,0,0,D,2018-2019
25/08/18,Ath Madrid,Vallecano,1,0,H,0,0,D,2018-2019
25/08/18,Valladolid,Barcelona,0,1,A,0,0,D,2018-2019
26/08/18,Espanol,Valencia,2,0,H,0,0,D,2018-2019
26/08/18,Girona,Real Madrid,1,4,A,1,1,D,2018-2019
26/08/18,Sevilla,Villarreal,0,0,D,0,0,D,2018-2019
27/08/18,Ath Bilbao,Huesca,2,2,D,0,0,D,2018-2019
27/08/18,Levante,Celta,1,2,A,0,2,A,2018-2019
31/08/18,Eibar,Sociedad,2,1,H,1,1,D,2018-2019
31/08/18,Getafe,Valladolid,0,0,D,0,0,D,2018-2019
31/08/18,Villarreal,Girona,0,1,A,0,0,D,2018-2019
01/09/18,Celta,Ath Madrid,2,0,H,0,0,D,2018-2019
01/09/18,Real Madrid,Leganes,4,1,H,1,1,D,2018-2019
02/09/18,Alaves,Espanol,2,1,H,0,1,A,2018-2019
02/09/18,Barcelona,Huesca,8,2,H,3,2,H,2018-2019
02/09/18,Betis,Sevilla,1,0,H,0,0,D,2018-2019
02/09/18,Levante,Valencia,2,2,D,2,1,H,2018-2019
14/09/18,Huesca,Vallecano,0,1,A,0,1,A,2018-2019
15/09/18,Ath Bilbao,Real Madrid,1,1,D,1,0,H,2018-2019
15/09/18,Ath Madrid,Eibar,1,1,D,0,0,D,2018-2019
15/09/18,Sociedad,Barcelona,1,2,A,1,0,H,2018-2019
15/09/18,Valencia,Betis,0,0,D,0,0,D,2018-2019
16/09/18,Espanol,Levante,1,0,H,0,0,D,2018-2019
16/09/18,Leganes,Villarreal,0,1,A,0,0,D,2018-2019
16/09/18,Sevilla,Getafe,0,2,A,0,2,A,2018-2019
16/09/18,Valladolid,Alaves,0,1,A,0,0,D,2018-2019
17/09/18,Girona,Celta,3,2,H,2,1,H,2018-2019
21/09/18,Huesca,Sociedad,0,1,A,0,0,D,2018-2019
22/09/18,Celta,Valladolid,3,3,D,2,1,H,2018-2019
22/09/18,Eibar,Leganes,1,0,H,0,0,D,2018-2019
22/09/18,Getafe,Ath Madrid,0,2,A,0,1,A,2018-2019
22/09/18,Real Madrid,Espanol,1,0,H,1,0,H,2018-2019
22/09/18,Vallecano,Alaves,1,5,A,1,2,A,2018-2019
23/09/18,Barcelona,Girona,2,2,D,1,1,D,2018-2019
23/09/18,Betis,Ath Bilbao,2,2,D,0,2,A,2018-2019
23/09/18,Levante,Sevilla,2,6,A,1,4,A,2018-2019
23/09/18,Villarreal,Valencia,0,0,D,0,0,D,2018-2019
25/09/18,Ath Madrid,Huesca,3,0,H,3,0,H,2018-2019
25/09/18,Espanol,Eibar,1,0,H,0,0,D,2018-2019
25/09/18,Sociedad,Vallecano,2,2,D,1,2,A,2018-2019
26/09/18,Ath Bilbao,Villarreal,0,3,A,0,0,D,2018-2019
26/09/18,Leganes,Barcelona,2,1,H,0,1,A,2018-2019
26/09/18,Sevilla,Real Madrid,3,0,H,3,0,H,2018-2019
26/09/18,Valencia,Celta,1,1,D,1,0,H,2018-2019
27/09/18,Alaves,Getafe,1,1,D,0,0,D,2018-2019
27/09/18,Girona,Betis,0,1,A,0,0,D,2018-2019
27/09/18,Valladolid,Levante,2,1,H,0,0,D,2018-2019
28/09/18,Vallecano,Espanol,2,2,D,1,2,A,2018-2019
29/09/18,Barcelona,Ath Bilbao,1,1,D,0,1,A,2018-2019
29/09/18,Eibar,Sevilla,1,3,A,0,0,D,2018-2019
29/09/18,Real Madrid,Ath Madrid,0,0,D,0,0,D,2018-2019
29/09/18,Sociedad,Valencia,0,1,A,0,1,A,2018-2019
30/09/18,Betis,Leganes,1,0,H,0,0,D,2018-2019
30/09/18,Huesca,Girona,1,1,D,0,1,A,2018-2019
